country,slope_p25,slope_p50,slope_p75,slope_mid,concavity,n_stud,n_school,pv_math_mean,hwk_mean,study_mean,escs_mean,east_asia,nordic,oecd,region
ALB,27.835430325844868,20.9685537238268,1.8520301662520635,16.885338071974576,25.983400159592804,6129,274,368.2217199510451,2.475558729056317,7.258626332769837,-0.7514551558746204,0,0,0,Non-OECD
ARE,11.92477200665445,6.7639054367379,-7.678667066604419,3.6700034589293105,19.60343907325887,24600,840,431.110476583555,2.2825594957706796,6.696601006305515,0.2966563804048203,0,0,0,Non-OECD
ARG,5.368827056172222,2.605093497983489,-5.061519932363865,0.9708002072639488,10.430346988536087,12111,457,377.5290286484539,2.0655377541850366,4.332525608299544,-0.80197375331075,0,0,0,Non-OECD
AUS,31.46754961063516,31.46754961063516,21.058218661665705,27.997772627645343,10.409330948969455,13437,743,487.0842535121308,1.719423274134379,3.638051682524994,0.379366600098662,0,0,1,OECD (other)
AUT,-10.958727843344091,-10.958727843344091,-11.016370448833982,-10.977942045174055,0.05764260548989064,6151,302,487.2674989673573,1.5885567276975396,5.360072568795921,0.06906735838519015,0,0,1,OECD (other)
BEL,10.95977958449066,10.95977958449066,4.861249714354244,8.926936294445188,6.0985298701364155,8286,285,489.486816744945,1.7900176269766177,5.286193200944396,0.08287633453443578,0,0,1,OECD (other)
BGR,16.71389778115997,12.060043848986254,-1.0994051306827828,9.224845499821148,17.813302911842754,6107,202,417.3039003748683,1.9631752563199816,5.608333426278016,-0.27220649375191536,0,0,0,Non-OECD
BRA,12.499479060861688,8.517472286426084,-2.669640146493464,6.115770400264769,15.169119207355152,10798,598,378.69136694698255,2.007791880195702,5.940841550429903,-0.9914729633663948,0,0,0,Non-OECD
BRN,15.607407620107494,14.192676104318366,9.64618157255677,13.14875509899421,5.961226047550724,5576,54,442.0931044709813,2.364470924069152,5.546493405243322,-0.25725751169077976,0,0,0,Non-OECD
CAN,8.35363637182536,8.35363637182536,3.749525722696035,6.818932822115585,4.604110649129325,23073,863,496.947894435704,1.8887408162888757,4.565183976149832,0.3811020834349589,0,0,1,OECD (other)
CHE,-14.440780916351857,-14.440780916351857,-14.440780916351857,-14.440780916351857,0,6829,260,507.9905864487029,1.3451965283124816,4.562115053119256,0.16916674411868815,0,0,1,OECD (other)
CHL,6.977667524533331,4.039121201705598,-4.271397723609937,2.2484636675429974,11.249065248143268,6488,230,411.696570708096,2.112364902596471,4.357181974737724,-0.5086492927143373,0,0,1,OECD (other)
COL,11.32894896764833,10.13071602057164,6.213545788297552,9.224403592172507,5.1154031793507775,7804,262,382.6968351295673,2.452004781987848,7.273081926095533,-1.0651248666066755,0,0,1,OECD (other)
CZE,-13.761398049200864,-13.761398049200864,-14.271098333236694,-13.931298143879474,0.50970028403583,8460,430,486.9992078519244,1.5273766905049355,4.382208456377484,-0.10408606887443415,0,0,1,OECD (other)
DEU,-12.34454282353778,-12.34454282353778,-12.788846924826371,-12.492644190633978,0.44430410128859066,6116,257,474.82645390785706,1.5588305423121682,4.797468894361279,-0.13699001801812014,0,0,1,OECD (other)
DNK,-6.215996931853624,-6.215996931853624,-9.51793409394503,-7.316642652550759,3.3019371620914058,6200,347,489.273876942411,1.3917429788696392,3.413384650797833,0.4760777394194428,0,1,1,Nordic
DOM,10.530695266179578,8.553575007638244,2.8527657744858175,7.312345349434547,7.67792949169376,6868,253,339.1072467325859,2.319061468482985,7.36658677171366,-0.7096963763568349,0,0,0,Non-OECD
ESP,0.6743757640579133,-4.019716386549987,-4.019716386549987,-2.4550190030140207,4.694092150607901,30800,966,473.14020802460686,1.8288718613497408,5.793564855244574,-0.03319949726493251,0,0,1,OECD (other)
EST,-13.370443705198229,-13.370443705198229,-13.944303030637514,-13.561730147011323,0.573859325439285,6392,196,509.94695322476144,1.7626099144226757,5.790472052348895,0.15072518810963964,0,0,1,OECD (other)
FIN,-11.846229041238985,-11.846229041238985,-11.846229041238985,-11.846229041238985,0,10239,241,484.1392256377669,1.2847515491380772,4.944424426838878,0.25848283679375944,0,1,1,Nordic
FRA,4.381543678986986,4.381543678986986,-1.6643195979575012,2.3662559200054907,6.0458632769444876,6770,282,473.9444184205984,1.6591948075720755,5.671910374913132,1.853907930411522e-4,0,0,1,OECD (other)
GBR,11.409624901851204,11.409624901851204,6.859633531713598,9.892961111805336,4.549991370137606,12972,451,488.9750850657636,1.6697859106769315,4.57506831913655,0.13638065860924,0,0,1,OECD (other)
GEO,21.075678202187305,16.98206374490985,5.202858460298955,14.420200135798703,15.87281974188835,6583,267,390.02422032168255,2.1750121523352903,6.788893139098487,-0.46609404448686065,0,0,0,Non-OECD
GRC,24.756620755776396,15.82287255609333,-8.481264309443077,10.69940966747555,33.23788506521947,6403,230,430.14632185328054,2.0976177773775357,5.843393578123667,-0.154869593520961,0,0,1,OECD (other)
GTM,19.163483032077806,14.1025621320112,0.01254383811942716,11.092863000736145,19.15093919395838,5190,290,344.19948813728763,2.4304444134531966,7.468924426280401,-1.5128962163908557,0,0,0,Non-OECD
HKG,21.09493990197609,13.009548855442176,-9.502062026707108,8.200808910237052,30.5970019286832,5907,163,540.3518012286893,2.168914664953165,6.188007415487234,-0.4618579371911637,1,0,0,East Asia
HRV,17.370721103543872,11.38963578630387,11.38963578630387,13.383330892050537,5.981085317240002,6135,180,463.10518936749145,1.849605300005941,6.068497240941826,-0.1519635999117231,0,0,0,Non-OECD
HUN,0.6740516506251879,0.6740516506251879,-6.418931009260973,-1.690275902670199,7.092982659886161,6198,262,472.77612237193995,1.6666886211272955,5.533881017291251,0.00297822717063948,0,0,1,OECD (other)
IDN,7.946067837824785,8.900114163131093,10.775510625350876,9.207230875435584,-2.829442787526091,13439,410,365.5252538715769,2.1220405476236546,5.964119144805673,-1.555847023396357,0,0,0,Non-OECD
IRL,8.098287498284321,8.098287498284321,2.5165610097461126,6.237712002104918,5.581726488538209,5569,170,491.6482795918827,1.4825915953918989,4.045410662712019,0.3329791371384958,0,0,1,OECD (other)
ISL,-7.097620606972498,-7.097620606972498,-6.140943653912018,-6.778728289285671,-0.9566769530604802,3360,134,458.91401434518576,1.549673632365154,3.547236819458316,0.3781051237992792,0,1,1,Nordic
ISR,9.829397318063002,8.100450886453075,2.9635834668434313,6.964477223786503,6.8658138512195706,6251,193,457.8966665933152,2.084157217899844,4.589351469380938,0.27995699607366575,0,0,1,OECD (other)
ITA,12.138455374678983,6.948545776254832,-7.36841958367927,3.9061938557515155,19.506874958358253,10552,344,471.2594754762866,2.134724514419104,6.4506535135548795,-0.10021047625315677,0,0,1,OECD (other)
JAM,16.25257131812367,11.118882483916366,-3.36913419510131,8.000773202312908,19.62170551322498,3873,147,377.4169392186348,2.232627723331449,5.4250861716630965,-0.5503355620693652,0,0,0,Non-OECD
JOR,0.9637717813307064,-0.3510327499241157,-3.963697765673317,-1.1169862447555754,4.927469547004024,7799,260,361.2280283665785,2.084916711686655,7.121987312284525,-0.8164571700685548,0,0,0,Non-OECD
KAZ,13.161927345355082,8.533505112121588,-4.371399050890773,5.774677802195299,17.533326396245855,19769,571,425.4391288356629,1.9329348074541597,7.582092170202877,-0.3723667452209884,0,0,0,Non-OECD
KHM,7.181040571263907,4.494874646425615,-2.945644724829606,2.9100901642866384,10.126685296093513,5279,183,336.39604125930657,2.290104860018195,7.156072649907612,-2.0113231811312,0,0,0,Non-OECD
KOR,31.647813873581526,13.76158776921477,2.9297109788800526,16.113037540558782,28.718102894701474,6454,186,527.3025017804584,2.8306867358374466,5.393015038589826,0.22438568549861265,1,0,1,East Asia
KSV,17.460474985056976,12.544383612369757,-1.2761077618815193,9.57625027851507,18.736582746938495,6027,229,354.9624438264088,2.0089491018760146,6.747239831478326,-0.3432331768521614,0,0,0,Non-OECD
LTU,1.331408325125949,-1.4434991220311415,-9.08312151551985,-3.0650707708083473,10.414529840645798,7257,292,475.1467619772571,1.995000935605318,6.439495618857025,0.0522950661242306,0,0,1,OECD (other)
LVA,-0.5082259237323683,-0.5082259237323683,-3.823641418160719,-1.6133644218751517,3.3154154944283505,5373,225,483.1594552018177,1.7695900563636002,5.811560083579887,-0.00948252342791961,0,0,1,OECD (other)
MAC,10.376228039747616,4.48547272173505,-11.602280316167366,1.0864734817717665,21.978508355914983,4384,46,551.923153064622,2.1435891530412836,6.827181895229123,-0.4488941210209979,1,0,0,East Asia
MAR,7.549180558423586,6.087080724651173,1.905258713135083,5.180506665403281,5.643921845288503,6867,178,364.7662406960325,2.4522029255162527,6.593202594535893,-1.784536001667121,0,0,0,Non-OECD
MDA,9.920971538974245,6.420118140906311,-3.48235480931595,4.286244956854868,13.403326348290195,6235,265,414.1980631976305,1.9948904277358837,7.251705097933039,-0.522542343064163,0,0,0,Non-OECD
MEX,14.14410668436676,11.211850721392864,2.823335872864675,9.393097759541433,11.320770811502085,6288,280,395.0299192187102,2.3595051499090336,6.856508538300546,-0.9524373255716472,0,0,1,OECD (other)
MKD,10.826650649244186,10.826650649244186,7.140053291279457,9.597784863255944,3.686597357964729,6610,111,388.5755067832621,1.8638921403088031,6.429357425364054,-0.27981664973100984,0,0,0,Non-OECD
MLT,23.18922569972665,15.025613203496164,-7.694952034748496,10.173295622824773,30.884177734475145,3127,46,466.0161129110568,1.984520440316532,5.395913241147016,0.01924946963891799,0,0,0,Non-OECD
MNE,17.27764909923809,17.27764909923809,12.239823264431775,15.598373820969318,5.0378258348063145,5793,63,405.60117333799366,1.803285362292394,5.760100986040516,-0.20551682878287,0,0,0,Non-OECD
MNG,13.821747501535183,11.195733344851476,3.596347870170291,9.537942905518983,10.225399631364892,6999,195,424.5931285428447,2.354119077126432,7.134720311731205,-0.7291488625589954,0,0,0,Non-OECD
MYS,16.616832209678932,16.616832209678932,7.205111060672664,13.479591826676844,9.411721149006269,7069,199,408.6874321942563,2.4533543958604778,6.733138162927758,-0.6848914977984744,0,0,0,Non-OECD
NLD,25.974395074725063,25.974395074725063,12.882446034039958,21.610412061163363,13.091949040685105,5046,154,492.6756389784962,1.7042317347207312,4.639463558294436,0.25346078228009306,0,0,1,OECD (other)
