term,estimate,std.error,statistic,p.value,dropped
regionEast Asia,12.791825060832188,5.277350220942918,2.4239105849121834,0.01873369983348365,ALB
regionNordic,-9.772917576912576,6.75171244604544,-1.4474724234792749,0.15354560740378223,ALB
regionNon-OECD,2.003840532687389,2.988843415096155,0.6704401182632457,0.5054346022320293,ALB
regionEast Asia,12.395802033777839,5.320738879781246,2.329714408816746,0.02359001917907102,ARE
regionNordic,-9.434656042647683,6.81377294467816,-1.3846449124807632,0.17185594595392306,ARE
regionNon-OECD,2.1422594956605057,3.0266142804354863,0.7078072384407917,0.4821089136607477,ARE
regionEast Asia,12.535697197608107,5.308010730841768,2.3616563404385094,0.021829965728310828,ARG
regionNordic,-9.554146954843986,6.796431584537016,-1.4057593070724377,0.1655235212897327,ARG
regionNon-OECD,2.3347088853316382,3.0396145120784244,0.7680937421683822,0.4457774912863226,ARG
regionEast Asia,13.376299087571095,4.7918923802159314,2.7914439695676836,0.007239890938738828,AUS
regionNordic,-8.011589557017572,6.141212546801653,-1.3045615171209166,0.1975749180576053,AUS
regionNon-OECD,3.0658496891372224,2.729031662553627,1.1234203440015884,0.26622874259959256,AUS
regionEast Asia,12.218656088356754,5.208471710949321,2.34591964139318,0.022681854319642036,AUT
regionNordic,-10.373698806225503,6.692927108862811,-1.54994946717537,0.1269951037575629,AUT
regionNon-OECD,1.7591623204844093,2.9600845321749887,0.5942946227930272,0.5547968893900093,AUT
regionEast Asia,12.282463444809427,5.320088988173269,2.30869511245277,0.02481621816335572,BGR
regionNordic,-9.337848325982714,6.808310969055584,-1.371536695139825,0.17588000827146955,BGR
regionNon-OECD,1.7822892899706524,3.058386986393768,0.5827546670515364,0.5624841672123331,BGR
regionEast Asia,12.41363636548734,5.331188320191292,2.3284933151717886,0.023659747562715643,BRA
regionNordic,-9.449889167982612,6.824332559868181,-1.384734563428888,0.1718286700909433,BRA
regionNon-OECD,2.0198207910178856,3.0593921772527377,0.6602032933324806,0.5119297942567225,BRA
regionEast Asia,12.511794457448906,5.321988608777636,2.3509622769227683,0.02240569786373598,BRN
regionNordic,-9.533730521942271,6.813474379975034,-1.3992465503300542,0.16745722399613439,BRN
regionNon-OECD,1.9968695612343252,3.0211985301958326,0.6609527779377309,0.511452737231588,BRN
regionEast Asia,12.707232985932222,5.172650264004361,2.456619399606389,0.017270417594289912,CHE
regionNordic,-10.969336113164903,6.6732659936651775,-1.643773247399087,0.1060335064995698,CHE
regionNon-OECD,2.1135752076951144,2.933624846826038,0.7204654030599189,0.47434582836189865,CHE
regionEast Asia,12.203522694906997,5.377386544879048,2.26941518766743,0.02726057804629939,CHL
regionNordic,-9.4813271522600715,6.816585498456181,-1.3909203008467217,0.16995472071957032,CHL
regionNon-OECD,1.8563264011688965,3.0950936175202894,0.5997642173602936,0.5511718796003982,CHL
regionEast Asia,12.559708581145427,5.466831734473592,2.297438295373987,0.025495968164673637,COL
regionNordic,-9.497790911104541,6.82834462903256,-1.3909360799866641,0.16994996069523252,COL
regionNon-OECD,2.1663994707359193,3.1962383291239727,0.6777965995200639,0.5007946566066128,COL
regionEast Asia,12.313506185955903,5.160026166607642,2.3863263069557603,0.02055199699367953,CZE
regionNordic,-10.653039432317772,6.638052559442202,-1.6048440919866642,0.11436129442735904,CZE
regionNon-OECD,1.8077089035910587,2.930367151785257,0.6168881952180479,0.5399008312175638,CZE
regionEast Asia,12.259412802954083,5.185425223517079,2.3642058798485546,0.021694675572117014,DEU
regionNordic,-10.506179875826552,6.666982310108838,-1.5758523702540077,0.12090088003981898,DEU
regionNon-OECD,1.7784820572428834,2.9458654641466633,0.6037214118866969,0.5485567079056469,DEU
regionEast Asia,12.46567153054725,5.320182202471278,2.3430910927743827,0.022838085218632,DNK
regionNordic,-11.887754440258213,9.305506191154468,-1.2774968063057497,0.20689206430699927,DNK
