country,slope_p25,slope_p50,slope_p75,slope_mid,concavity,n_stud,n_school,pv_math_mean,hwk_mean,study_mean,escs_mean,east_asia,nordic,oecd,region,n_schools,schsize_mean,stratio_mean,private_share,abgmath_mean,stubeha_mean,mactiv_mean,edushort_mean,clsize_mean,escs_btw_var,exam_pressure_z,stratification_z,resource_z
ALB,27.835430325844868,20.9685537238268,1.8520301662520635,16.885338071974576,25.983400159592804,6129,274,368.2217199510451,2.475558729056317,7.258626332769837,-0.7514551558746204,0,0,0,Non-OECD,274,571.1465903504906,13.632301720570304,0.12129647510218354,2.2317799153350473,-0.8235781668272544,2.790036636280734,0.31893377794541133,28.834029087070444,0.3716600185136676,1.9104249612930464,0.14362814579694866,-0.26508344722328336
ARE,11.92477200665445,6.7639054367379,-7.678667066604419,3.6700034589293105,19.60343907325887,24600,840,431.110476583555,2.2825594957706796,6.696601006305515,0.2966563804048203,0,0,0,Non-OECD,840,1778.306622806586,14.707107233256881,0.6053587539369982,2.5278601242358194,-0.73193805287612,3.6389474919786515,-0.545314018139857,29.96567968026845,0.14283838392080375,3.765664923148413,1.2793300013336428,1.0809214593530547
ARG,5.368827056172222,2.605093497983489,-5.061519932363865,0.9708002072639488,10.430346988536089,12111,457,377.5290286484539,2.0655377541850366,4.332525608299544,-0.80197375331075,0,0,0,Non-OECD,457,589.1939563582706,8.656224914433166,0.31504176432880443,2.1910772817908843,0.1992725134369708,1.1596165233376448,0.3465021326873187,29.880685411685022,0.4868188548901656,-2.233407133821377,1.8785269111371568,0.6266025657294464
AUS,31.46754961063516,31.46754961063516,21.058218661665705,27.997772627645343,10.409330948969457,13437,743,487.0842535121308,1.719423274134379,3.638051682524994,0.379366600098662,0,0,1,OECD (other),743,1154.9420551006035,12.770519198501264,0.43278548057087585,2.4378939391437235,-0.01971624325479073,2.8745735287065868,-0.6936218038741679,24.6176533117183,0.2070070391423163,1.064762604047893,0.7666313258247471,1.7130421323981007
AUT,-10.958727843344091,-10.958727843344091,-11.016370448833982,-10.977942045174055,0.05764260548989064,6151,302,487.2674989673573,1.5885567276975396,5.360072568795921,0.06906735838519015,0,0,1,OECD (other),302,670.4317597754884,10.074838056982967,0.13576432053833895,1.4266702686694106,0.31598300440112176,1.6806026338673774,-0.4696659709313023,22.154679426797674,0.3096700599642259,-4.746138223502782,-0.16396808729232037,1.8213952618932243
BEL,10.95977958449066,10.95977958449066,4.861249714354244,8.926936294445188,6.0985298701364155,8286,285,489.486816744945,1.7900176269766177,5.286193200944396,0.08287633453443578,0,0,1,OECD (other),285,823.9022589575455,9.382948179619602,0.6241673380229921,2.0183970766315262,NA,1.7435164863795805,-0.20308715841332106,20.252659868416938,0.2511268680663736,NA,2.0491328336519428,1.4743718504629726
BGR,16.71389778115997,12.060043848986254,-1.0994051306827828,9.224845499821148,17.813302911842754,6107,202,417.3039003748683,1.9631752563199816,5.608333426278016,-0.27220649375191536,0,0,0,Non-OECD,202,640.1249405464508,11.491413931431262,0.021458037180583648,1.8495582380431475,-0.4264224454696205,2.7942340267156545,-0.5822604449537085,27.531467570197044,0.4683076954030201,-0.35169329443127073,0.21564251102890908,1.7553243191268697
BRA,12.499479060861688,8.517472286426084,-2.669640146493464,6.115770400264769,15.169119207355152,10798,598,378.69136694698255,2.007791880195702,5.940841550429903,-0.9914729633663948,0,0,0,Non-OECD,598,831.780138384111,25.69834253573148,0.13644828500750464,2.0670939166832842,0.41226247488645706,1.8188599262820082,-0.2913345317152495,35.91234160509952,0.4518792167529976,-2.4117170482347037,0.7203178735949508,-1.4530997544007582
BRN,15.607407620107494,14.192676104318366,9.64618157255677,13.14875509899421,5.961226047550724,5576,54,442.0931044709813,2.364470924069152,5.546493405243322,-0.25725751169077976,0,0,0,Non-OECD,54,873.8445397714853,7.989981963403317,0.17809357218318453,2.1354810297977678,-0.3414582140333408,3.142445460751567,0.1635147635757623,24.665282115148454,0.20880484357991885,0.9210957391887038,-0.5653823489802725,1.080635589900854
CAN,8.35363637182536,8.35363637182536,3.749525722696035,6.818932822115585,4.604110649129325,23073,863,496.947894435704,1.8887408162888757,4.565183976149832,0.3811020834349589,0,0,1,OECD (other),863,NA,NA,0.07951170139240073,2.261356175545647,0.5600103151330116,2.6916360932191026,-0.7406545087689065,NA,0.10724881155101047,-1.0281403623199525,-1.7141858028607517,NA
