country,slope_p25,slope_p50,slope_p75,slope_mid,concavity,n_stud,n_school,pv_math_mean,hwk_mean,study_mean,escs_mean,east_asia,nordic,oecd,region,n_schools,schsize_mean,stratio_mean,private_share,abgmath_mean,stubeha_mean,mactiv_mean,edushort_mean,clsize_mean,escs_btw_var,exam_pressure_z,stratification_z,resource_z,pc1_org,pc2_org
ALB,27.835430325844868,20.9685537238268,1.8520301662520635,16.885338071974576,25.983400159592804,6129,274,368.2217199510451,2.475558729056317,7.258626332769837,-0.7514551558746204,0,0,0,Non-OECD,274,571.1465903504906,13.632301720570304,0.12129647510218354,2.2317799153350473,-0.8235781668272544,2.790036636280734,0.31893377794541133,28.834029087070444,0.3716600185136676,1.9755120789813663,0.12608666538171764,-0.31765932973556554,0.3676137879821554,0.3084112365499627
ARE,11.92477200665445,6.7639054367379,-7.678667066604419,3.6700034589293105,19.60343907325887,24600,840,431.110476583555,2.2825594957706796,6.696601006305515,0.2966563804048203,0,0,0,Non-OECD,840,1778.306622806586,14.70710723325688,0.6053587539369982,2.5278601242358194,-0.73193805287612,3.638947491978651,-0.545314018139857,29.96567968026845,0.14283838392080375,3.8540514038408302,1.3286590538608087,1.0859270452590468,2.2203849314943884,2.4883403025241213
ARG,5.368827056172222,2.605093497983489,-5.061519932363865,0.9708002072639488,10.430346988536089,12111,457,377.5290286484539,2.0655377541850366,4.332525608299544,-0.80197375331075,0,0,0,Non-OECD,457,589.1939563582706,8.656224914433166,0.31504176432880443,2.1910772817908843,0.1992725134369708,1.1596165233376448,0.3465021326873187,29.880685411685025,0.4868188548901656,-2.3936841612899133,1.8912765535183151,0.5678467883816772,-0.930269033858075,0.35040667979750273
AUS,31.46754961063516,31.46754961063516,21.058218661665705,27.997772627645343,10.409330948969457,13437,743,487.0842535121308,1.719423274134379,3.638051682524994,0.379366600098662,0,0,1,OECD (other),743,1154.9420551006035,12.770519198501264,0.43278548057087585,2.4378939391437235,-0.01971624325479073,2.8745735287065868,-0.6936218038741679,24.6176533117183,0.2070070391423163,1.0030747301841088,0.7918234068013684,1.7260648110985066,1.2867584697891985,1.2826255680457825
AUT,-10.958727843344091,-10.958727843344091,-11.016370448833982,-10.977942045174055,0.05764260548989064,6151,302,487.2674989673573,1.5885567276975396,5.360072568795921,0.06906735838519015,0,0,1,OECD (other),302,670.4317597754884,10.074838056982967,0.13576432053833895,1.4266702686694106,0.31598300440112176,1.6806026338673774,-0.4696659709313023,22.15467942679767,0.3096700599642259,-4.9537648454928815,-0.180451580260694,1.8173722972205946,0.08292019237068142,-1.50591604053036
BEL,10.95977958449066,10.95977958449066,4.861249714354244,8.926936294445188,6.0985298701364155,8286,285,489.486816744945,1.7900176269766177,5.286193200944396,0.08287633453443578,0,0,1,OECD (other),285,823.9022589575455,9.382948179619602,0.6241673380229921,2.0183970766315262,0.04301640857009389,1.7435164863795805,-0.20308715841332103,20.252659868416934,0.2511268680663736,-2.019138635362443,2.1030588290864087,1.4522710684670956,0.7229085867958044,1.2310437372214513
BGR,16.71389778115997,12.060043848986254,-1.0994051306827828,9.224845499821148,17.813302911842754,6107,202,417.3039003748683,1.9631752563199816,5.608333426278016,-0.27220649375191536,0,0,0,Non-OECD,202,640.1249405464508,11.491413931431262,0.02145803718058364,1.8495582380431477,-0.4264224454696205,2.7942340267156545,-0.5822604449537085,27.531467570197044,0.4683076954030201,-0.3764155065409883,0.18515238195175887,1.7599249895130078,0.5739350973612014,-0.49904078161366233
BRA,12.499479060861688,8.517472286426084,-2.669640146493464,6.115770400264769,15.169119207355152,10798,598,378.69136694698255,2.007791880195702,5.940841550429903,-0.9914729633663948,0,0,0,Non-OECD,598,831.780138384111,25.69834253573148,0.13644828500750464,2.067093916683284,0.41226247488645706,1.818859926282008,-0.2913345317152495,35.91234160509952,0.4518792167529976,-2.597755447252049,0.7063599333264592,-1.4550785298890019,-2.095231838053097,0.26458845330541914
BRN,15.607407620107494,14.192676104318366,9.64618157255677,13.14875509899421,5.961226047550724,5576,54,442.0931044709813,2.364470924069152,5.546493405243322,-0.25725751169077976,0,0,0,Non-OECD,54,873.8445397714853,7.989981963403317,0.17809357218318453,2.135481029797768,-0.3414582140333408,3.142445460751567,0.1635147635757623,24.665282115148457,0.20880484357991885,0.9065498555928757,-0.577397382998153,1.0332860174113772,1.303718112393776,-0.5154331142576027
CAN,8.35363637182536,8.35363637182536,3.749525722696035,6.818932822115585,4.604110649129325,23073,863,496.947894435704,1.8887408162888757,4.565183976149832,0.3811020834349589,0,0,1,OECD (other),863,NA,12.345213400676997,0.07951170139240073,2.261356175545647,0.5600103151330116,2.6916360932191026,-0.7406545087689065,NA,0.10724881155101049,-1.2055113137189022,-1.742346374645838,1.8935220055125968,0.8496907661778212,-0.9852483515845456
CHE,-14.440780916351857,-14.440780916351857,-14.440780916351857,-14.440780916351857,0,6829,260,507.9905864487029,1.3451965283124816,4.562115053119256,0.16916674411868815,0,0,1,OECD (other),260,770.1073441766679,12.452441063393657,0.03079602776460919,2.2067597486420327,0.02420828594995638,1.5331864255954692,-0.8024427622604178,19.84437438208893,0.1981903927360068,-1.5048754400591327,-1.4416386220125355,1.9881495028611675,0.6044210480884467,-0.5363943976437663
CHL,6.977667524533331,4.039121201705598,-4.271397723609937,2.2484636675429974,11.249065248143268,6488,230,411.696570708096,2.112364902596471,4.357181974737724,-0.5086492927143373,0,0,1,OECD (other),230,946.1300149452796,18.37493661391773,0.62586146935579,1.8808185488205724,0.4640028395372875,2.077002308905386,-0.2774551140500442,35.8530463466593,0.3541021202953199,-3.125156439124514,2.7517066702836592,-0.10225789001527175,-0.6953540558836836,1.3452099227596408
COL,11.32894896764833,10.13071602057164,6.213545788297552,9.224403592172507,5.1154031793507775,7804,262,382.6968351295673,2.452004781987848,7.273081926095533,-1.0651248666066755,0,0,1,OECD (other),262,1404.7300848984798,25.102589369916537,0.19533742365088244,2.36096227301376,0.34921919895595654,1.14883557335638,0.6991210374141479,34.06475427703683,0.6465611363407257,-2.1089257224253437,2.2344837429182576,-3.18336012766291,-3.5798756939345084,0.9519595248124911
CZE,-13.761398049200864,-13.761398049200864,-14.271098333236694,-13.931298143879474,0.50970028403583,8460,430,486.9992078519244,1.5273766905049355,4.382208456377484,-0.10408606887443415,0,0,1,OECD (other),430,521.1973813168828,13.241301159691323,0.08869784148891549,2.0476774996528087,-0.1498060933919457,2.601700654390062,-0.1383503252542728,24.052077805614378,0.265180321144775,-0.4839898040668478,-0.7118203488520001,0.6056550408893566,0.3959048896255519,-0.6085831526060206
DEU,-12.34454282353778,-12.34454282353778,-12.788846924826371,-12.492644190633978,0.44430410128859066,6116,257,474.82645390785706,1.5588305423121682,4.797468894361279,-0.13699001801812014,0,0,1,OECD (other),257,731.4402387771771,13.974684795063116,0.03690624372863521,2.0395147572199805,0.04301640857009389,2.4641572138652448,-0.06748022149892563,24.676498584932357,0.31941604328646733,-1.11531481284939,-0.6557232489884102,0.3359092112617585,-0.1618638494277112,-0.8554081589252693
DNK,-6.215996931853624,-6.215996931853624,-9.51793409394503,-7.316642652550759,3.3019371620914058,6200,347,489.273876942411,1.3917429788696392,3.413384650797833,0.4760777394194428,0,1,1,Nordic,347,542.8124411737085,12.44484796991672,0.24415153821166172,2.6658940611722297,-0.5815085337584461,1.1452458525818203,-0.7981917208844191,21.764601742022183,0.10762832376352384,1.1781668140419628,-0.8476709249896617,1.9816797427777835,1.4226682353636795,1.2982587116441962
DOM,10.530695266179578,8.553575007638244,2.8527657744858175,7.312345349434547,7.67792949169376,6868,253,339.1072467325859,2.319061468482985,7.36658677171366,-0.7096963763568349,0,0,0,Non-OECD,253,584.5450106624487,22.1493685048842,0.19518265695653245,2.4508109968383347,-0.09479581848454129,1.9438443350649852,0.3722966455888251,31.47514594339745,0.2540846632169397,0.1601551864806925,-0.2035944526139118,-2.0201306258842218,-1.103285782117903,0.6158371257277364
ESP,0.6743757640579133,-4.019716386549987,-4.019716386549987,-2.4550190030140207,4.694092150607901,30800,966,473.14020802460686,1.8288718613497408,5.793564855244574,-0.03319949726493251,0,0,1,OECD (other),966,789.4517864501859,11.582414051711464,0.32286510801055146,2.2710920763060924,-0.20572560968451117,1.4377152759391751,-0.2949715639762642,26.09817930305595,0.23920992387715256,-0.8425184880542222,0.3960511540170102,1.2089641483169722,0.5237477815411491,0.7310433527420833
EST,-13.370443705198229,-13.370443705198229,-13.944303030637514,-13.561730147011325,0.573859325439285,6392,196,509.94695322476144,1.7626099144226757,5.790472052348895,0.15072518810963964,0,0,1,OECD (other),196,690.9628065446076,11.91676301215685,0.05390800198018227,2.279104598530823,0.35096222626847956,2.6504254761578103,-0.12844025513301685,22.46366233098993,0.1594852845316142,-0.7050860284894408,-1.5567306461319492,0.8365811298264263,0.4009428792017604,-1.0711807518306578
FIN,-11.846229041238985,-11.846229041238985,-11.846229041238985,-11.846229041238985,0,10239,241,484.1392256377669,1.2847515491380772,4.944424426838878,0.25848283679375944,0,1,1,Nordic,241,526.957906073404,10.90224475975534,0.0472487133764035,1.7524793924511577,0.2352394908578269,1.6408587103507652,-0.56589983705701,19.86406746939706,0.09134810474315906,-3.582869056351703,-2.0159478364703562,1.8404337364525853,0.7552590744457471,-1.6505157204916654
FRA,4.381543678986986,4.381543678986986,-1.6643195979575012,2.3662559200054907,6.045863276944488,6770,282,473.9444184205984,1.6591948075720755,5.671910374913132,1.853907930411522e-4,0,0,1,OECD (other),282,986.5672731868224,12.278405886561268,0.22502118374273236,1.879784676877729,0.28330033839733354,1.8793150409494843,-0.4031250391525495,29.687927297376444,0.26476879463250935,-2.939765784270723,0.024472451284866414,1.27891268042235,0.1208513163580359,-0.5056073411213584
GBR,11.409624901851204,11.409624901851204,6.859633531713598,9.892961111805336,4.549991370137606,12972,451,488.9750850657636,1.6697859106769315,4.57506831913655,0.13638065860924,0,0,1,OECD (other),451,1102.258049792287,15.64715429007839,0.6733696995014972,2.7109877436488943,-0.20771091497264585,3.8387162402962463,-0.32235107919962847,25.74120235515004,0.19662639681029687,3.569300363033362,2.0312844624233213,0.49466372176987405,1.4391024869954023,2.649245338738219
