model,n,df_used,r2,adj_r2,aic,bic,rmse
M0,77,1,0,0,580.8631577217533,585.5507685654607,10.246396956266235
M1,77,2,0.225448513376602,0.2151211602216233,563.1918796265604,570.2232958921214,9.017711205704698
M2,77,5,0.3595055650032052,0.32392254083671657,554.5585145633763,568.6213470944984,8.200283314481283
M3z,77,8,0.3877491435508795,0.32563673782415714,557.0859425309922,578.1801913276753,8.01744293639422
M4z,77,5,0.2788134259618584,0.23874750518196164,563.695137616171,577.7579701472931,8.701517409541808
M3pc,77,7,0.3907697419762037,0.33855000557416415,554.7051154349343,573.4555588097638,7.997641070072003
M4pc,77,4,0.2726903044579046,0.2428008649150788,562.3461343416714,574.0651614509397,8.738378767976908
M5,77,4,0.32459765660941087,0.29684139592212644,556.6447617137218,568.3637888229902,8.420782661652224
M6z,77,4,0.13075561087797904,0.09503323872227964,576.0730735734824,587.7921006827507,9.553051629863393
M6pc,77,3,0.04709696282882033,0.021342826689058847,581.1485140705416,590.5237357579564,10.002199958574824
