country,n_levels,sign_changes,sign_flipped,max_abs_chg,base_slope,base_t,pct_change,fragility,region,hwk_mean,slope_p50
GBR,7,1,TRUE,1.6380242370682132,0.5073913127295087,0.5230077303814207,322.83253496329513,flip,OECD (other),1.6697859106769315,11.409624901851204
MLT,7,1,TRUE,2.3056116923851415,0.9091204636958705,0.6276025735200494,253.60904131583175,flip,Non-OECD,1.984520440316532,15.025613203496164
NLD,7,1,TRUE,3.286808008274292,2.9498118432461666,1.9397765090632808,111.42432748040203,flip,OECD (other),1.7042317347207312,25.974395074725063
ALB,7,0,FALSE,0.6376335363697878,4.67772180567479,5.612859869692446,13.631283835568011,robust,Non-OECD,2.475558729056317,20.9685537238268
ARE,7,0,FALSE,0.7754805733975152,-5.291270334631061,-11.466413935658265,14.655848678190555,robust,Non-OECD,2.2825594957706796,6.7639054367379
ARG,7,0,FALSE,1.2297483220809098,-2.50173018770737,-4.821895338768533,49.15591330046159,robust,Non-OECD,2.0655377541850366,2.605093497983489
AUS,7,0,FALSE,0.18399945495846737,10.085214140934916,12.887649101704918,1.8244476754502539,robust,OECD (other),1.719423274134379,31.46754961063516
AUT,7,0,FALSE,0.7404664075561538,-11.092581023670267,-9.80132894594023,6.675330168660345,robust,OECD (other),1.5885567276975396,-10.958727843344091
BRN,7,0,FALSE,0.5684012530075746,5.617642498996168,7.180274974237001,10.118145700961637,robust,Non-OECD,2.364470924069152,14.192676104318366
CHE,7,0,FALSE,0.6580978157557489,-16.027692971474384,-11.431504520531934,4.106004631652303,robust,OECD (other),1.3451965283124816,-14.440780916351857
CHL,7,0,FALSE,1.24533091970404,-2.570372349143928,-3.6641436297326293,48.449436523031466,robust,OECD (other),2.112364902596471,4.039121201705598
COL,7,0,FALSE,0.4679338921842866,1.6601085714737671,3.176130918469903,28.1869451326835,robust,OECD (other),2.452004781987848,10.13071602057164
CZE,7,0,FALSE,1.404710586700924,-14.141205317874892,-15.60183184855202,9.933457262835503,robust,OECD (other),1.5273766905049355,-13.761398049200864
DEU,7,0,FALSE,3.772513861424507,-13.589853262016899,-11.08934482054851,27.759783631869915,robust,OECD (other),1.5588305423121682,-12.34454282353778
DNK,7,0,FALSE,1.0566031950282504,-12.986636137771226,-10.262675169480312,8.136080689557113,robust,Nordic,1.3917429788696392,-6.215996931853624
DOM,7,0,FALSE,0.3215941311106052,1.910831326661039,4.12557147516729,16.830063785512372,robust,Non-OECD,2.319061468482985,8.553575007638244
ESP,7,0,FALSE,1.3722536714675133,-8.11266914567447,-20.16083307776874,16.914946817462344,robust,OECD (other),1.8288718613497408,-4.019716386549987
EST,7,0,FALSE,2.494104427582288,-12.616691605713514,-13.70517672527872,19.768291922526057,robust,OECD (other),1.7626099144226757,-13.370443705198229
FIN,7,0,FALSE,0.08939627558759788,-14.173707783867007,-12.594686819191999,0.6307190535517583,robust,Nordic,1.2847515491380772,-11.846229041238985
FRA,7,0,FALSE,1.772449764797181,-6.4464641058068795,-6.669512913228269,27.494914044438477,robust,OECD (other),1.6591948075720755,4.381543678986986
GEO,7,0,FALSE,0.125623525765997,5.178356581547568,6.2000855482441795,2.425934247433652,robust,Non-OECD,2.1750121523352903,16.98206374490985
GRC,7,0,FALSE,1.4266012855656642,4.311171356533858,5.2768418906875265,33.090804507307695,robust,OECD (other),2.0976177773775357,15.82287255609333
GTM,7,0,FALSE,0.21118167688111944,1.6515329715688145,2.911325112408432,12.787009434060224,robust,Non-OECD,2.4304444134531966,14.1025621320112
HRV,7,0,FALSE,1.0099748697178246,3.38079880334047,3.5505615485263604,29.87385314736557,robust,Non-OECD,1.849605300005941,11.38963578630387
HUN,7,0,FALSE,1.8294434995435829,-10.52006426280764,-9.489116245555339,17.390041104704558,robust,OECD (other),1.6666886211272955,0.6740516506251879
IDN,7,0,FALSE,0.7798271488456416,3.12874936165824,8.847648154685954,24.924564377132867,robust,Non-OECD,2.1220405476236546,8.900114163131093
ISL,7,0,FALSE,0.014744949252282424,-5.512626497692962,-3.5287259834286884,0.26747593471919773,robust,Nordic,1.549673632365154,-7.097620606972498
ISR,7,0,FALSE,0.6749118058094103,2.553192572283854,2.7469999061900454,26.434034515684633,robust,OECD (other),2.084157217899844,8.100450886453075
ITA,7,0,FALSE,0.10130039253262946,-0.8106524800354372,-1.1910627818490571,12.496155261031358,robust,OECD (other),2.134724514419104,6.948545776254832
JAM,7,0,FALSE,0.021702934167833643,-2.8624359441976317,-3.4139139181959033,0.7581980729324996,robust,Non-OECD,2.232627723331449,11.118882483916366
JOR,7,0,FALSE,0.6284145978475788,-2.6586201743524964,-5.387000808555485,23.636870129469635,robust,Non-OECD,2.084916711686655,-0.3510327499241157
KAZ,7,0,FALSE,0.3862588053557696,1.1409642866131549,2.2915360104442026,33.85371565856303,robust,Non-OECD,1.9329348074541597,8.533505112121588
KHM,7,0,FALSE,0.1273908558446546,-0.6605581274750499,-0.8448960920772326,19.28533622492841,robust,Non-OECD,2.290104860018195,4.494874646425615
KOR,7,0,FALSE,1.5399733974141672,17.35586798902616,19.737986004074425,8.872926426888405,robust,East Asia,2.8306867358374466,13.76158776921477
LTU,7,0,FALSE,1.3278836966303622,-5.020797272795757,-5.613317937123416,26.44766606740427,robust,OECD (other),1.995000935605318,-1.4434991220311415
LVA,7,0,FALSE,0.488285718706722,-7.596013761131509,-7.596844519904829,6.428183703474314,robust,OECD (other),1.7695900563636002,-0.5082259237323683
MAC,7,0,FALSE,1.4663794902111307,-3.3640166510334386,-3.0076057185424623,43.590137693303426,robust,East Asia,2.1435891530412836,4.48547272173505
MAR,7,0,FALSE,0.28905860208275835,1.3069446133773535,2.9621763622409367,22.117127162396333,robust,Non-OECD,2.4522029255162527,6.087080724651173
MDA,7,0,FALSE,0.1066354248243484,-1.1454640679729058,-1.4939975855393706,9.309364458115041,robust,Non-OECD,1.9948904277358837,6.420118140906311
MEX,7,0,FALSE,0.3226165974179769,2.8789198757676493,4.795911317449325,11.20616798451026,robust,OECD (other),2.3595051499090336,11.211850721392864
MKD,7,0,FALSE,0.3355378099213988,-1.1816986510228544,-1.4437135549432405,28.3945327034912,robust,Non-OECD,1.8638921403088031,10.826650649244186
MNE,7,0,FALSE,0.5036455523041314,2.4529389589961808,2.800224774564054,20.532331245219364,robust,Non-OECD,1.803285362292394,17.27764909923809
MNG,7,0,FALSE,0.9083743142065939,2.7093409317082853,4.082517916202623,33.5275012301183,robust,Non-OECD,2.354119077126432,11.195733344851476
MYS,7,0,FALSE,0.05879634183981164,5.277024768369886,8.669053323332536,1.1141949189291807,robust,Non-OECD,2.4533543958604778,16.616832209678932
NZL,7,0,FALSE,0.894982704202758,4.480013273259962,2.842793647875871,19.977233316353722,robust,OECD (other),1.4824864382255367,14.68835429509994
PER,7,0,FALSE,0.5903921767681397,3.4890916287896583,5.503922966466787,16.921085473841302,robust,Non-OECD,2.540551876515324,11.311927173595793
PHL,7,0,FALSE,0.44868263797240937,2.2596630737646315,4.88627371145077,19.85617427579137,robust,Non-OECD,2.515598305723145,8.719569907779146
POL,7,0,FALSE,0.9167092944183874,-2.9893452929121973,-3.2818969669880445,30.665888500466146,robust,OECD (other),1.815381395670944,9.036300534420832
PRY,7,0,FALSE,0.46720686319441285,-1.8585361792119115,-2.5708300131864967,25.13843251588064,robust,Non-OECD,2.3684620817440836,9.645513623089414
PSE,7,0,FALSE,0.2109951231681162,-4.844763638013789,-9.12398929435406,4.355116966131665,robust,Non-OECD,1.8270974280776553,-2.0352596883564047
QAT,7,0,FALSE,0.3984567972690143,-2.4366568433132656,-3.121360775439355,16.35260206468832,robust,Non-OECD,1.977628505881774,11.920802506539983
QAZ,7,0,FALSE,0.3913515540509236,6.663817392628844,8.625121109404303,5.872783286105883,robust,Non-OECD,2.7596532139073857,10.6548102455273
QUR,7,0,FALSE,0.3846912586051534,4.9980186221759295,4.348816747529167,7.696875255692321,robust,Non-OECD,2.2212522073973653,13.831957370543762
ROU,7,0,FALSE,1.0426527879222487,5.365866446316458,7.22863423244201,19.431210194171076,robust,Non-OECD,2.074458692796566,13.02506092543672
SAU,7,0,FALSE,1.1288500487556208,-6.221611254263289,-9.6206447571335,18.144014510422664,robust,Non-OECD,1.619281628799731,-3.8262874938725417
SLV,7,0,FALSE,0.28074983494240136,1.4668446647606759,3.2491660578471953,19.139711360521417,robust,Non-OECD,2.390112409890079,9.5876444699976
SVK,7,0,FALSE,0.4431647361830331,-7.9988507614212425,-7.587413585958104,5.540355101015676,robust,OECD (other),1.5714019999126323,-0.2975719966740371
SVN,7,0,FALSE,1.278811173479233,-7.022082858765153,-7.622150337244754,18.211280031863854,robust,OECD (other),1.7566753265793495,7.6920937351811745
SWE,7,0,FALSE,1.8640634846195958,-16.896056305935783,-12.92634796407738,11.03253594132927,robust,Nordic,1.405039039241786,-30.24761312357458
TAP,7,0,FALSE,0.9387101442393941,14.6786144100027,11.19366022661798,6.3950868795879865,robust,East Asia,1.835818432046826,31.487307223619723
THA,7,0,FALSE,0.4433447186936026,2.6307830397944505,4.347342871907417,16.852196170773635,robust,Non-OECD,2.185574722430571,12.036857160903764
