country,trim_pct,n,slope,se,t,region,hwk_mean,slope_p50
ALB,0,4222,4.67772180567479,0.8333936556893061,5.612859869692446,Non-OECD,2.475558729056317,20.9685537238268
ALB,5,4010,4.586534082953877,0.8604811920379563,5.330196784535371,Non-OECD,2.475558729056317,20.9685537238268
ALB,10,3799,4.614765980845734,0.8909656133202088,5.179510759847034,Non-OECD,2.475558729056317,20.9685537238268
ALB,15,3588,4.495629476267918,0.9291199335801031,4.838588984895922,Non-OECD,2.475558729056317,20.9685537238268
ALB,20,3377,4.703796695519499,0.9647435497159353,4.8756964448267235,Non-OECD,2.475558729056317,20.9685537238268
ALB,25,3166,4.857204101976705,0.997535703203932,4.869203263979533,Non-OECD,2.475558729056317,20.9685537238268
ALB,30,2955,5.315355342044578,1.0356151710343957,5.132558396895134,Non-OECD,2.475558729056317,20.9685537238268
ARE,0,21254,-5.291270334631061,0.46145816506556275,-11.466413935658265,Non-OECD,2.2825594957706796,6.7639054367379
ARE,5,20191,-5.559669337822342,0.48033913554815383,-11.574466718140203,Non-OECD,2.2825594957706796,6.7639054367379
ARE,10,19128,-5.716651551246582,0.49914216212236334,-11.452952655690826,Non-OECD,2.2825594957706796,6.7639054367379
ARE,15,18066,-6.132610793033427,0.5157137883456829,-11.891500540844058,Non-OECD,2.2825594957706796,6.7639054367379
ARE,20,17003,-6.373672680563268,0.537233913113988,-11.863868838099446,Non-OECD,2.2825594957706796,6.7639054367379
ARE,25,15940,-6.492877033919998,0.5603449685803674,-11.587285329552769,Non-OECD,2.2825594957706796,6.7639054367379
ARE,30,14879,-6.066750908028576,0.5846337228251866,-10.37701157352262,Non-OECD,2.2825594957706796,6.7639054367379
ARG,0,9580,-2.50173018770737,0.5188271440885917,-4.821895338768533,Non-OECD,2.0655377541850366,2.605093497983489
ARG,5,9101,-3.2626413531226,0.5442206382761885,-5.99507097609707,Non-OECD,2.0655377541850366,2.605093497983489
ARG,10,8622,-3.20571820564467,0.5626979386870644,-5.697049847249359,Non-OECD,2.0655377541850366,2.605093497983489
ARG,15,8143,-3.396268168824818,0.5838653360532045,-5.816868992056988,Non-OECD,2.0655377541850366,2.605093497983489
ARG,20,7664,-3.4851714431433534,0.6011950191172727,-5.797073050040548,Non-OECD,2.0655377541850366,2.605093497983489
ARG,25,7185,-3.5102671666928726,0.6228627753152184,-5.635699074995125,Non-OECD,2.0655377541850366,2.605093497983489
ARG,30,6706,-3.7314785097882797,0.650853731238879,-5.733205988825678,Non-OECD,2.0655377541850366,2.605093497983489
AUS,0,12270,10.085214140934916,0.7825487846034491,12.887649101704918,OECD (other),1.719423274134379,31.46754961063516
AUS,5,11656,9.70962345097987,0.8068009435105828,12.034720000116742,OECD (other),1.719423274134379,31.46754961063516
AUS,10,11043,9.691551453108545,0.8363899826359426,11.587359550343885,OECD (other),1.719423274134379,31.46754961063516
AUS,15,10429,9.730311885601994,0.8645676477974565,11.254540822098315,OECD (other),1.719423274134379,31.46754961063516
AUS,20,9816,9.861750905879706,0.8898407322454911,11.08260225511797,OECD (other),1.719423274134379,31.46754961063516
AUS,25,9202,9.930692282425715,0.917392591980013,10.82491004313895,OECD (other),1.719423274134379,31.46754961063516
AUS,30,8589,9.901214685976448,0.9491902158505047,10.431222868331659,OECD (other),1.719423274134379,31.46754961063516
AUT,0,5181,-11.092581023670267,1.1317425509185548,-9.80132894594023,OECD (other),1.5885567276975396,-10.958727843344091
AUT,5,4922,-11.139523711409772,1.1662688916046635,-9.551419738275756,OECD (other),1.5885567276975396,-10.958727843344091
AUT,10,4663,-11.528710619749079,1.2059957205765772,-9.55949546341449,OECD (other),1.5885567276975396,-10.958727843344091
AUT,15,4404,-12.025405432667041,1.2360756915054723,-9.72869664479912,OECD (other),1.5885567276975396,-10.958727843344091
AUT,20,4145,-11.620397368862251,1.2766346229408438,-9.10236739631392,OECD (other),1.5885567276975396,-10.958727843344091
AUT,25,3886,-11.887559404506675,1.3150546224293378,-9.039593642541211,OECD (other),1.5885567276975396,-10.958727843344091
AUT,30,3627,-11.83304743122642,1.3995402644798345,-8.454953195379767,OECD (other),1.5885567276975396,-10.958727843344091
BEL,0,7007,-1.0915922374261515,0.8582260044378182,-1.2719169913072026,OECD (other),1.7900176269766177,10.95977958449066
BEL,5,6656,-1.6551082705069986,0.8733018387357582,-1.8952304885823077,OECD (other),1.7900176269766177,10.95977958449066
BEL,10,6306,-1.4926478277892636,0.9036460656617872,-1.651805817022088,OECD (other),1.7900176269766177,10.95977958449066
BEL,15,5956,-1.974119611758182,0.924661526963844,-2.1349645834625215,OECD (other),1.7900176269766177,10.95977958449066
BEL,20,5605,-2.4024086290074673,0.9540443584088331,-2.5181309525421165,OECD (other),1.7900176269766177,10.95977958449066
BEL,25,5255,-2.731710297403518,0.9812565366071916,-2.783890038428405,OECD (other),1.7900176269766177,10.95977958449066
BEL,30,4905,-2.9816533808744174,1.0105745210325945,-2.9504537456849746,OECD (other),1.7900176269766177,10.95977958449066
BGR,0,4978,1.7005778105396436,0.9581656668802306,1.7748264932897178,Non-OECD,1.9631752563199816,12.060043848986254
BGR,5,4729,1.8925297996776747,0.9886362786144266,1.9142831803927471,Non-OECD,1.9631752563199816,12.060043848986254
BGR,10,4480,2.370272117346657,1.0245908570971554,2.3133840214639934,Non-OECD,1.9631752563199816,12.060043848986254
BGR,15,4231,2.3209409198079345,1.057566978733597,2.1946041872328386,Non-OECD,1.9631752563199816,12.060043848986254
BGR,20,3982,2.825501906857186,1.1061529922382798,2.554350010064915,Non-OECD,1.9631752563199816,12.060043848986254
BGR,25,3733,2.904473647849304,1.1519214859562499,2.521416331980473,Non-OECD,1.9631752563199816,12.060043848986254
BGR,30,3484,2.765052914022241,1.206968233647423,2.2909077778015177,Non-OECD,1.9631752563199816,12.060043848986254
BRA,0,8433,0.44841730965198817,0.581684969394933,0.7708937539136185,Non-OECD,2.007791880195702,8.517472286426084
BRA,5,8011,0.4372225185099222,0.6025730891935452,0.7255925071182315,Non-OECD,2.007791880195702,8.517472286426084
BRA,10,7589,0.3951591790325085,0.6233324119956835,0.6339461440282765,Non-OECD,2.007791880195702,8.517472286426084
BRA,15,7168,0.23935369092390432,0.6533178117982433,0.36636639412155075,Non-OECD,2.007791880195702,8.517472286426084
BRA,20,6746,0.23039107540670645,0.6799533325741067,0.338833658678475,Non-OECD,2.007791880195702,8.517472286426084
BRA,25,6325,0.14070843994505092,0.7061234339784446,0.19926889998859074,Non-OECD,2.007791880195702,8.517472286426084
BRA,30,5903,0.05585082898160293,0.7401449536514445,0.07545931199836929,Non-OECD,2.007791880195702,8.517472286426084
BRN,0,5209,5.617642498996168,0.7823714995807827,7.180274974237001,Non-OECD,2.364470924069152,14.192676104318366
BRN,5,4948,5.757895019336382,0.805634007788435,7.147035705633276,Non-OECD,2.364470924069152,14.192676104318366
BRN,10,4688,5.469286202573921,0.8354566747911232,6.546462991562459,Non-OECD,2.364470924069152,14.192676104318366
BRN,15,4427,5.428149686889143,0.8629977855305153,6.289876727264447,Non-OECD,2.364470924069152,14.192676104318366
BRN,20,4167,5.517614067211148,0.8941565521807684,6.17074722961452,Non-OECD,2.364470924069152,14.192676104318366
BRN,25,3907,5.269362685925773,0.9244774648669151,5.699828158260552,Non-OECD,2.364470924069152,14.192676104318366
BRN,30,3646,5.049241245988593,0.9608534990049431,5.2549543205260445,Non-OECD,2.364470924069152,14.192676104318366
CAN,0,18395,-2.7025451622410204,0.5289678857522375,-5.109091184992772,OECD (other),1.8887408162888757,8.35363637182536
CAN,5,17475,-2.897001643387406,0.5476248020433003,-5.290121324998611,OECD (other),1.8887408162888757,8.35363637182536
CAN,10,16555,-3.208552599498472,0.5639715926440484,-5.689209600887744,OECD (other),1.8887408162888757,8.35363637182536
CAN,15,15636,-3.268487773360694,0.581461543571001,-5.6211589734508145,OECD (other),1.8887408162888757,8.35363637182536
CAN,20,14716,-3.5278582963706002,0.5978168717065904,-5.90123575184422,OECD (other),1.8887408162888757,8.35363637182536
CAN,25,13796,-3.8956227917461765,0.6176236901018893,-6.307437448041405,OECD (other),1.8887408162888757,8.35363637182536
CAN,30,12877,-4.109437456210873,0.6376324162991537,-6.444837732783768,OECD (other),1.8887408162888757,8.35363637182536
CHE,0,5652,-16.027692971474384,1.4020633017016537,-11.431504520531934,OECD (other),1.3451965283124816,-14.440780916351857
CHE,5,5369,-15.851417837145183,1.4420739257789057,-10.992097945730054,OECD (other),1.3451965283124816,-14.440780916351857
CHE,10,5086,-16.3403047121573,1.4827548864076332,-11.020233257666762,OECD (other),1.3451965283124816,-14.440780916351857
CHE,15,4804,-16.153220044426188,1.5237374630684093,-10.601051976432883,OECD (other),1.3451965283124816,-14.440780916351857
CHE,20,4521,-16.44837939388103,1.5716062319328523,-10.465967275818103,OECD (other),1.3451965283124816,-14.440780916351857
CHE,25,4239,-16.729801858760148,1.6798020129133782,-9.95938910070996,OECD (other),1.3451965283124816,-14.440780916351857
CHE,30,3957,-16.685790787230133,1.7618282343681222,-9.47072504670949,OECD (other),1.3451965283124816,-14.440780916351857
CHL,0,5246,-2.570372349143928,0.7014933389310087,-3.6641436297326293,OECD (other),2.112364902596471,4.039121201705598
CHL,5,4983,-2.498655941796125,0.7245306124582152,-3.4486547549986737,OECD (other),2.112364902596471,4.039121201705598
CHL,10,4721,-2.5048719342827246,0.7466571277065055,-3.3547820563595216,OECD (other),2.112364902596471,4.039121201705598
CHL,15,4459,-2.649007444541689,0.7674406289253596,-3.4517425123179506,OECD (other),2.112364902596471,4.039121201705598
CHL,20,4197,-2.9206301326083906,0.7880957067778233,-3.70593331176687,OECD (other),2.112364902596471,4.039121201705598
CHL,25,3934,-3.452295998029021,0.8089553083276722,-4.2675979284515035,OECD (other),2.112364902596471,4.039121201705598
CHL,30,3672,-3.815703268847968,0.8375035190793286,-4.5560444606162225,OECD (other),2.112364902596471,4.039121201705598
COL,0,6890,1.6601085714737671,0.5226826645652007,3.176130918469903,OECD (other),2.452004781987848,10.13071602057164
COL,5,6545,1.887471135276713,0.5386520308603744,3.504063898658112,OECD (other),2.452004781987848,10.13071602057164
COL,10,6201,1.8356573729191648,0.5545091297247834,3.3104186649374863,OECD (other),2.452004781987848,10.13071602057164
COL,15,5856,1.6748638528391249,0.5736446685733422,2.919688693358768,OECD (other),2.452004781987848,10.13071602057164
COL,20,5512,1.7315122460925514,0.5983812027934363,2.893660826926538,OECD (other),2.452004781987848,10.13071602057164
COL,25,5167,1.2827078284803246,0.622542837004301,2.0604330372713977,OECD (other),2.452004781987848,10.13071602057164
COL,30,4823,1.1921746792894805,0.644786844010741,1.8489438647256595,OECD (other),2.452004781987848,10.13071602057164
CZE,0,7785,-14.141205317874892,0.9063810874994985,-15.60183184855202,OECD (other),1.5273766905049355,-13.761398049200864
CZE,5,7395,-14.908689377788747,0.9538039004902807,-15.630769983353266,OECD (other),1.5273766905049355,-13.761398049200864
CZE,10,7006,-15.385560922173033,0.9901676639223684,-15.53833909423576,OECD (other),1.5273766905049355,-13.761398049200864
CZE,15,6617,-15.939922677611726,1.033940922647648,-15.416666782850436,OECD (other),1.5273766905049355,-13.761398049200864
CZE,20,6228,-15.743427939709369,1.0725648230451896,-14.678299718063812,OECD (other),1.5273766905049355,-13.761398049200864
CZE,25,5839,-16.08251196843465,1.1226608722249947,-14.325351819343998,OECD (other),1.5273766905049355,-13.761398049200864
CZE,30,5449,-15.545915904575816,1.1704301312630325,-13.282224619251672,OECD (other),1.5273766905049355,-13.761398049200864
DEU,0,4921,-13.589853262016899,1.2254874820769355,-11.08934482054851,OECD (other),1.5588305423121682,-12.34454282353778
DEU,5,4675,-13.858910660897244,1.2724790609203833,-10.891268144619294,OECD (other),1.5588305423121682,-12.34454282353778
DEU,10,4429,-14.204847388870183,1.3184898705477466,-10.773573393452764,OECD (other),1.5588305423121682,-12.34454282353778
DEU,15,4183,-14.570381860329121,1.3641503972182507,-10.680920439594317,OECD (other),1.5588305423121682,-12.34454282353778
DEU,20,3937,-15.48129976356101,1.4094875219475762,-10.983637330942482,OECD (other),1.5588305423121682,-12.34454282353778
DEU,25,3691,-15.817800931666152,1.4570312282212192,-10.856185252101238,OECD (other),1.5588305423121682,-12.34454282353778
DEU,30,3445,-17.362367123441405,1.5137023951634483,-11.470132556384462,OECD (other),1.5588305423121682,-12.34454282353778
DNK,0,5333,-12.986636137771226,1.2654240656852878,-10.262675169480312,Nordic,1.3917429788696392,-6.215996931853624
DNK,5,5067,-13.317999112189758,1.306731981795688,-10.191836809479783,Nordic,1.3917429788696392,-6.215996931853624
DNK,10,4799,-13.505074011906844,1.355137384591699,-9.96583384493957,Nordic,1.3917429788696392,-6.215996931853624
DNK,15,4533,-13.690738960412594,1.4071433116256173,-9.729456017238373,Nordic,1.3917429788696392,-6.215996931853624
DNK,20,4266,-14.048077183042514,1.449589000774354,-9.691076005363032,Nordic,1.3917429788696392,-6.215996931853624
DNK,25,4000,-13.675175286715117,1.5158748165417861,-9.021309106455593,Nordic,1.3917429788696392,-6.215996931853624
DNK,30,3733,-14.043239332799477,1.566272760688993,-8.966024108484111,Nordic,1.3917429788696392,-6.215996931853624
DOM,0,4774,1.910831326661039,0.46316766977926505,4.12557147516729,Non-OECD,2.319061468482985,8.553575007638244
DOM,5,4535,1.9817376684852814,0.47940362811211523,4.1337560925213195,Non-OECD,2.319061468482985,8.553575007638244
DOM,10,4296,1.993128187628425,0.49397840609036947,4.0348488173869645,Non-OECD,2.319061468482985,8.553575007638244
DOM,15,4058,2.0895898236540695,0.5096949797520592,4.099686884635491,Non-OECD,2.319061468482985,8.553575007638244
DOM,20,3819,2.0970465077774,0.5311573675108854,3.948070074984743,Non-OECD,2.319061468482985,8.553575007638244
DOM,25,3580,2.106386939135455,0.5500424418987999,3.8294989235085253,Non-OECD,2.319061468482985,8.553575007638244
DOM,30,3342,2.2324254577716443,0.5701808215859717,3.9152938388248466,Non-OECD,2.319061468482985,8.553575007638244
ESP,0,28586,-8.11266914567447,0.4023975157366029,-20.16083307776874,OECD (other),1.8288718613497408,-4.019716386549987
ESP,5,27156,-8.28858094395431,0.41431470664085174,-20.005519502688706,OECD (other),1.8288718613497408,-4.019716386549987
ESP,10,25727,-8.624731049780163,0.426581673052215,-20.21824094802232,OECD (other),1.8288718613497408,-4.019716386549987
ESP,15,24298,-8.673724603140812,0.4363178676123171,-19.87937063088075,OECD (other),1.8288718613497408,-4.019716386549987
ESP,20,22870,-9.022292200640512,0.45109646550797267,-20.000804463144377,OECD (other),1.8288718613497408,-4.019716386549987
ESP,25,21439,-9.262462269231625,0.46738176691822997,-19.817765528821162,OECD (other),1.8288718613497408,-4.019716386549987
ESP,30,20010,-9.484922817141983,0.4861877334430136,-19.508766191966703,OECD (other),1.8288718613497408,-4.019716386549987
EST,0,6172,-12.616691605713514,0.9205785418616651,-13.70517672527872,OECD (other),1.7626099144226757,-13.370443705198229
EST,5,5863,-12.778449504830943,0.9459523249128692,-13.508555524727903,OECD (other),1.7626099144226757,-13.370443705198229
EST,10,5554,-12.809264461200168,0.9681581040225217,-13.230550266511218,OECD (other),1.7626099144226757,-13.370443705198229
EST,15,5246,-13.232826533645932,1.008044688597659,-13.127222119541916,OECD (other),1.7626099144226757,-13.370443705198229
EST,20,4937,-13.743447777055241,1.0471775833989778,-13.124276144688007,OECD (other),1.7626099144226757,-13.370443705198229
EST,25,4629,-14.266677923834575,1.095444361830534,-13.023644487059434,OECD (other),1.7626099144226757,-13.370443705198229
EST,30,4320,-15.110796033295802,1.129428393503271,-13.379153667657496,OECD (other),1.7626099144226757,-13.370443705198229
FIN,0,9142,-14.173707783867007,1.1253719911692341,-12.594686819191999,Nordic,1.2847515491380772,-11.846229041238985
FIN,5,8684,-14.068155867622155,1.1505452629970376,-12.227381503424064,Nordic,1.2847515491380772,-11.846229041238985
FIN,10,8227,-14.533152348468878,1.2098790161510449,-12.01207075621726,Nordic,1.2847515491380772,-11.846229041238985
FIN,15,7770,-14.696107275570512,1.2658821838877954,-11.609379974395104,Nordic,1.2847515491380772,-11.846229041238985
FIN,20,7313,-14.192600574486564,1.3161955602526365,-10.78304850972326,Nordic,1.2847515491380772,-11.846229041238985
FIN,25,6856,-13.984086038887405,1.353386067886487,-10.332665874657353,Nordic,1.2847515491380772,-11.846229041238985
FIN,30,6399,-14.263104059454605,1.4113803592582592,-10.105783296396782,Nordic,1.2847515491380772,-11.846229041238985
FRA,0,5926,-6.4464641058068795,0.9665569569587315,-6.669512913228269,OECD (other),1.6591948075720755,4.381543678986986
FRA,5,5629,-6.648523179619854,0.997273608807043,-6.666699209631086,OECD (other),1.6591948075720755,4.381543678986986
FRA,10,5333,-7.073422533337736,1.036124708844802,-6.826806148869906,OECD (other),1.6591948075720755,4.381543678986986
FRA,15,5037,-7.747323791055065,1.07042240624706,-7.237632308368306,OECD (other),1.6591948075720755,4.381543678986986
FRA,20,4741,-7.402471597615017,1.1091925399026983,-6.673748092702088,OECD (other),1.6591948075720755,4.381543678986986
FRA,25,4444,-7.43199179389937,1.1455433248891798,-6.487743966050646,OECD (other),1.6591948075720755,4.381543678986986
FRA,30,4148,-8.21891387060406,1.1868761986612133,-6.9248282844284255,OECD (other),1.6591948075720755,4.381543678986986
GBR,0,10183,0.5073913127295087,0.9701411341654105,0.5230077303814207,OECD (other),1.6697859106769315,11.409624901851204
GBR,5,9673,0.22952526681216057,0.9951735659669183,0.23063842797025266,OECD (other),1.6697859106769315,11.409624901851204
GBR,10,9164,-0.18395538669996833,1.023894692471945,-0.17966240869542233,OECD (other),1.6697859106769315,11.409624901851204
GBR,15,8655,-0.4726939952213523,1.0462268298689903,-0.45180832848699126,OECD (other),1.6697859106769315,11.409624901851204
GBR,20,8148,-1.0115845946092334,1.0807217634570225,-0.9360268561385935,OECD (other),1.6697859106769315,11.409624901851204
GBR,25,7637,-0.6883649825378562,1.111376285481495,-0.6193806647940373,OECD (other),1.6697859106769315,11.409624901851204
GBR,30,7128,-1.1306329243387045,1.1522566326330046,-0.9812336005001872,OECD (other),1.6697859106769315,11.409624901851204
GEO,0,5150,5.178356581547568,0.8352072791985979,6.2000855482441795,Non-OECD,2.1750121523352903,16.98206374490985
GEO,5,4892,5.2653182052954985,0.8582395356676022,6.135021735161319,Non-OECD,2.1750121523352903,16.98206374490985
GEO,10,4635,5.379436165031648,0.881267290835039,6.104204956857526,Non-OECD,2.1750121523352903,16.98206374490985
GEO,15,4377,5.409395571215818,0.914385665721254,5.915879670914314,Non-OECD,2.1750121523352903,16.98206374490985
GEO,20,4120,5.317420087675108,0.9454803227268658,5.6240409872720605,Non-OECD,2.1750121523352903,16.98206374490985
GEO,25,3862,5.216322460018541,0.9769657057352672,5.339309690602417,Non-OECD,2.1750121523352903,16.98206374490985
GEO,30,3605,5.052733055781571,1.0153324566020314,4.9764321261740525,Non-OECD,2.1750121523352903,16.98206374490985
GRC,0,6015,4.311171356533858,0.8169983952223647,5.2768418906875265,OECD (other),2.0976177773775357,15.82287255609333
GRC,5,5714,4.302973139653576,0.8449161026750504,5.092781550771881,OECD (other),2.0976177773775357,15.82287255609333
GRC,10,5413,4.36506079517158,0.8719186279788076,5.0062708320502525,OECD (other),2.0976177773775357,15.82287255609333
GRC,15,5112,4.323285369098776,0.9080816701167632,4.760899279624131,OECD (other),2.0976177773775357,15.82287255609333
GRC,20,4812,3.649274001589489,0.9369649790205635,3.894781644244783,OECD (other),2.0976177773775357,15.82287255609333
GRC,25,4511,3.449220702229079,0.9762129304462287,3.53326676450847,OECD (other),2.0976177773775357,15.82287255609333
GRC,30,4210,2.884570070968194,1.0082518188064984,2.8609619314971897,OECD (other),2.0976177773775357,15.82287255609333
GTM,0,4598,1.6515329715688145,0.5672787846777312,2.911325112408432,Non-OECD,2.4304444134531966,14.1025621320112
GTM,5,4368,1.4688222241060427,0.5916663920882773,2.482517587186011,Non-OECD,2.4304444134531966,14.1025621320112
GTM,10,4138,1.3333505963353203,0.6083722174774838,2.1916691098483114,Non-OECD,2.4304444134531966,14.1025621320112
GTM,15,3908,1.3496322186609737,0.6347763153677571,2.126154026208532,Non-OECD,2.4304444134531966,14.1025621320112
GTM,20,3678,1.6462146779546383,0.6583054388089304,2.500685215259847,Non-OECD,2.4304444134531966,14.1025621320112
GTM,25,3448,1.743977008170573,0.6847252193403665,2.5469735288129773,Non-OECD,2.4304444134531966,14.1025621320112
GTM,30,3218,1.862714648449934,0.721197435597088,2.5828081971863504,Non-OECD,2.4304444134531966,14.1025621320112
HKG,0,5480,-1.003507327498533,1.1689263130259737,-0.8584863873076617,East Asia,2.168914664953165,13.009548855442176
HKG,5,5206,-1.1272696925522065,1.1989536163943326,-0.9402112618353791,East Asia,2.168914664953165,13.009548855442176
HKG,10,4932,-1.4549693985997583,1.2327621542028289,-1.180251513756618,East Asia,2.168914664953165,13.009548855442176
