construct,n_countries,r_pos_slope,slope_med_overall,slope_iqr,slope_med_eastasia,slope_med_nordic,slope_med_oecd_o,slope_med_nonoecd,ea_minus_nordic,pct_pos,spec
ANXMAT,73,0.5738774174427793,-0.14992532103243547,0.0874186800870306,-0.20796261826593765,-0.24458286744011587,-0.17780573458069943,-0.12476268496857457,0.03662024917417822,0,raw WLE
BELONG,75,-0.349725801935029,0.04327602577452724,0.04208096248286104,0.030738113126378114,0.02591122116115862,0.02647074678440793,0.06091296555070565,0.004826891965219494,89.33333333333333,raw WLE
CURIOAGR,70,-0.5193963041258938,0.1139533297989666,0.06713608183905943,0.14755870096074486,0.1921542603770219,0.12162296111637372,0.09123200171120525,-0.04459555941627705,100,raw WLE
FAMSUP,76,0.09730070617596462,0.010198565411884346,0.06629211112926699,-0.00826654132027403,-0.03933878407245349,-0.01917014811284483,0.045961319853434386,0.031072242752179458,55.26315789473685,raw WLE
GROSAGR,71,0.5680012288631406,0.06045743460375439,0.05692800333893983,0.07751087388851724,0.1537346701781299,0.06045743460375439,0.05730512073605721,-0.07622379628961265,91.54929577464789,raw WLE
MATHEF21,73,0.13122031677016494,0.14775191252576164,0.10471517717505228,0.26929108842048616,0.2820995901162008,0.1533982173646659,0.10688689915771767,-0.012808501695714625,98.63013698630137,raw WLE
MATHEFF,73,0.6749438061607185,0.26051589213777687,0.1690891960650327,0.3724378072480665,0.34467352557578457,0.3081582645219598,0.17066140255338794,0.027764281672281954,100,raw WLE
MATHMOT,73,0.40056541476076346,0.0696617965768612,0.1569727488193601,0.04235906893326822,0.26538958232804544,0.08889969501002974,0.04516553790179573,-0.22303051339477722,71.23287671232876,raw WLE
SDLEFF,74,0.2682883759986375,0.0915150028210836,0.05006475557163503,0.11832566642503332,0.13233639997817254,0.09359960802340414,0.08735734907491327,-0.014010733553139212,98.64864864864865,raw WLE
TEACHSUP,76,0.03818582480264074,0.036296050135419936,0.06649922394265724,0.07894324950908052,0.11524291136268604,0.040942860680792365,0.021023972510295436,-0.03629966185360552,76.31578947368422,raw WLE
ANXMAT,73,0.6307478510390397,-0.1717695086397437,0.09962291694943709,-0.23055762445632344,-0.29272786104224224,-0.20580013322679575,-0.13621556097968002,0.0621702365859188,0,within-country z
BELONG,75,-0.24986884258519318,0.04056639576802059,0.04176734842576262,0.02365330232180802,0.0277102007428849,0.02615577295228992,0.056430352991137835,-0.0040568984210768815,89.33333333333333,within-country z
CURIOAGR,70,-0.372018132923433,0.11487364167890762,0.0609517061623962,0.1444904354114208,0.17554658494160008,0.11527020706786462,0.10041847423686108,-0.031056149530179294,100,within-country z
FAMSUP,76,0.11707216885107778,0.010970630140499926,0.07146384295894549,-0.008699032005928505,-0.037342852199806265,-0.017907473609563195,0.05259259325687333,0.02864382019387776,55.26315789473685,within-country z
GROSAGR,71,0.5562543633148693,0.059376307546159045,0.06095803085880609,0.07764219011108267,0.14004096464151866,0.061413252576869214,0.05440679301688795,-0.06239877453043599,91.54929577464789,within-country z
MATHEF21,73,0.1408614797613432,0.1527656167176695,0.11192611472203949,0.2645926457744962,0.27328022628820814,0.15772944802080963,0.11180078372788567,-0.008687580513711934,98.63013698630137,within-country z
MATHEFF,73,0.6793786137494106,0.31900184600568915,0.19112249201464698,0.43995411029219267,0.4020425658597493,0.356482465318932,0.20947526171785863,0.03791154443244338,100,within-country z
MATHMOT,73,0.52982907730261,0.014476595621995684,0.034433096408093083,0.007128607403335006,0.05889236072918931,0.01777980448655628,0.010579525738512313,-0.051763753325854304,71.23287671232876,within-country z
SDLEFF,74,0.2985188173051448,0.08726708648318991,0.04629118658248024,0.10935573073063735,0.13627662438633178,0.08588176077337661,0.08510823225240184,-0.02692089365569443,98.64864864864865,within-country z
TEACHSUP,76,0.053036361435389145,0.04036443307497652,0.07003656861295693,0.07602129373893138,0.11426994385487768,0.04701485521926735,0.02371095556560949,-0.0382486501159463,76.31578947368422,within-country z
