country,input,slope,se,n,region
ALB,hwk_h,0.0499189301815797,0.008893671201578579,4222,Non-OECD
ALB,study_h,0.049878744693287215,0.003676319616735086,4637,Non-OECD
ALB,EXERPRAC,-0.013411064623877329,0.0032809183148942126,4636,Non-OECD
ALB,ST297Q01JA,-0.10105729314833219,0.023991364734102915,5203,Non-OECD
ALB,ST297Q03JA,0.04511089656912001,0.024625239772574654,5203,Non-OECD
ALB,ST297Q05JA,0.06782543691654563,0.02519091156685296,5203,Non-OECD
ALB,ST297Q06JA,0.038646555173457435,0.024545675452372417,5203,Non-OECD
ALB,ST297Q07JA,-0.041963180679731794,0.02479103881701216,5203,Non-OECD
ARE,hwk_h,-0.05646649488344479,0.004924512162241494,21254,Non-OECD
ARE,study_h,-0.016881777772699967,0.002144772554372288,22070,Non-OECD
ARE,EXERPRAC,-0.052118809249645515,0.001870608634266929,22047,Non-OECD
ARE,ST297Q01JA,-0.35562246046414,0.012769236988238475,22602,Non-OECD
ARE,ST297Q03JA,-0.2832679030295666,0.012688676256654879,22602,Non-OECD
ARE,ST297Q05JA,-0.18115075073359393,0.012796498542878166,22602,Non-OECD
ARE,ST297Q06JA,-0.2267008489294132,0.012981442236388852,22602,Non-OECD
ARE,ST297Q07JA,-0.5202125374004156,0.01444981812029439,22602,Non-OECD
ARG,hwk_h,-0.02669754631876792,0.005536732849449713,9580,Non-OECD
ARG,study_h,0.0010147518778043595,0.0020741037085091575,10871,Non-OECD
ARG,EXERPRAC,-0.023346044236330896,0.0017459252163956598,10755,Non-OECD
ARG,ST297Q01JA,-0.20342697713792865,0.014844676667404362,11099,Non-OECD
ARG,ST297Q03JA,0.05169683768684552,0.014538993695533488,11099,Non-OECD
ARG,ST297Q05JA,0.018424477358019085,0.015057386072485175,11099,Non-OECD
ARG,ST297Q06JA,-0.16467119919798268,0.018528876950392344,11099,Non-OECD
ARG,ST297Q07JA,-0.3308753347365228,0.023188331058344478,11099,Non-OECD
AUS,hwk_h,0.10762570359717866,0.008351073399642774,12270,OECD (other)
AUS,study_h,0.04685438992406742,0.002984169597159199,12783,OECD (other)
AUS,EXERPRAC,-0.0543104441140916,0.002512553505913933,12789,OECD (other)
AUS,ST297Q01JA,-0.19137749273173843,0.02059995620748253,12700,OECD (other)
AUS,ST297Q03JA,-0.22479452748405782,0.021994577953381993,12700,OECD (other)
AUS,ST297Q05JA,-0.06084895813571895,0.022386095139563716,12700,OECD (other)
AUS,ST297Q06JA,-0.04011314482466984,0.019672989718738442,12700,OECD (other)
AUS,ST297Q07JA,-0.2449843889405893,0.02792966104974222,12700,OECD (other)
AUT,hwk_h,-0.11837595322200473,0.01207754110436599,5181,OECD (other)
AUT,study_h,-0.03432097092534461,0.0037643997619583856,5874,OECD (other)
AUT,EXERPRAC,-0.05827702838596883,0.00331183023785444,5867,OECD (other)
AUT,ST297Q01JA,-0.3604387260688228,0.026855620904259827,5631,OECD (other)
AUT,ST297Q03JA,-0.4766403464175748,0.03417254828226581,5631,OECD (other)
AUT,ST297Q05JA,-0.16886725711573017,0.028512342581473546,5631,OECD (other)
AUT,ST297Q06JA,-0.17881316090118068,0.02815689128375664,5631,OECD (other)
AUT,ST297Q07JA,-0.4721407703191989,0.040381706514067,5631,OECD (other)
BEL,hwk_h,-0.011649071695696981,0.00915867291286414,7007,OECD (other)
BEL,study_h,-1.241303963533665e-4,0.0031557542368944504,7612,OECD (other)
BEL,EXERPRAC,-0.028840790776298572,0.002725165470112874,7606,OECD (other)
BEL,ST297Q01JA,-0.28614707728159694,0.02529498687808382,7051,OECD (other)
BEL,ST297Q03JA,-0.27358776349870767,0.03525773071791815,7051,OECD (other)
BEL,ST297Q05JA,-0.13021006400571505,0.029937290540930372,7051,OECD (other)
BEL,ST297Q06JA,-0.22565964552290427,0.03170557263192601,7051,OECD (other)
BEL,ST297Q07JA,-0.34788265522720324,0.04262005429497272,7051,OECD (other)
BGR,hwk_h,0.01814794220761191,0.010225192308220481,4978,Non-OECD
BGR,study_h,0.02335828079280199,0.0034745691525919498,5372,Non-OECD
BGR,EXERPRAC,-0.02316147173213147,0.0032233262201042307,5330,Non-OECD
BGR,ST297Q01JA,-0.2549219001333803,0.024951207794689914,5650,Non-OECD
BGR,ST297Q03JA,-0.13549470907409175,0.026057722778432282,5650,Non-OECD
BGR,ST297Q05JA,-0.23017386781421476,0.0272728250454702,5650,Non-OECD
BGR,ST297Q06JA,-0.2988127607372757,0.02826548808855216,5650,Non-OECD
BGR,ST297Q07JA,-0.2909124413229291,0.028747208783984898,5650,Non-OECD
BRA,hwk_h,0.004785344939832228,0.006207528489546689,8433,Non-OECD
BRA,study_h,-0.006459292046030148,0.0020198322953154874,9480,Non-OECD
BRA,EXERPRAC,-0.023136491042649362,0.001821980861518274,9445,Non-OECD
BRA,ST297Q01JA,-0.19217246898007231,0.01447435923362099,9421,Non-OECD
