country,input,layer,slope,region
ALB,hwk_h,L0,0.06653666157882017,Non-OECD
ALB,hwk_h,L1,0.0499189301815797,Non-OECD
ALB,hwk_h,L2,0.056147198556306725,Non-OECD
ALB,SDLEFF,L0,0.08704703064653212,Non-OECD
ALB,SDLEFF,L1,0.06667900400829836,Non-OECD
ALB,SDLEFF,L2,0.09487695776325634,Non-OECD
ALB,MATHEFF,L0,0.22447825414316427,Non-OECD
ALB,MATHEFF,L1,0.19306847505142347,Non-OECD
ALB,MATHEFF,L2,0.2190131130344331,Non-OECD
ALB,MATHMOT,L0,-0.12160828932081723,Non-OECD
ALB,MATHMOT,L1,-0.08007071157230988,Non-OECD
ALB,MATHMOT,L2,-0.18489593277420643,Non-OECD
ARE,hwk_h,L0,-0.06204643571085185,Non-OECD
ARE,hwk_h,L1,-0.05646649488344479,Non-OECD
ARE,hwk_h,L2,-0.06539298553394263,Non-OECD
ARE,SDLEFF,L0,0.16814394819981768,Non-OECD
ARE,SDLEFF,L1,0.12357334846178095,Non-OECD
ARE,SDLEFF,L2,0.13802253410661303,Non-OECD
ARE,MATHEFF,L0,0.3289551504513605,Non-OECD
ARE,MATHEFF,L1,0.28234262167004354,Non-OECD
ARE,MATHEFF,L2,0.3297228464140891,Non-OECD
ARE,MATHMOT,L0,-0.3184195644616636,Non-OECD
ARE,MATHMOT,L1,-0.21592087495975149,Non-OECD
ARE,MATHMOT,L2,-0.3309827986810645,Non-OECD
ARG,hwk_h,L0,-0.025202194940868332,Non-OECD
ARG,hwk_h,L1,-0.02669754631876792,Non-OECD
ARG,hwk_h,L2,-0.03775600099755522,Non-OECD
ARG,SDLEFF,L0,0.16027578500565676,Non-OECD
ARG,SDLEFF,L1,0.09524606098716977,Non-OECD
ARG,SDLEFF,L2,0.09785865845017722,Non-OECD
ARG,MATHEFF,L0,0.21783627324960236,Non-OECD
ARG,MATHEFF,L1,0.1716163423898711,Non-OECD
ARG,MATHEFF,L2,0.1920597896820103,Non-OECD
ARG,MATHMOT,L0,-0.040675622643987594,Non-OECD
ARG,MATHMOT,L1,-0.038958402071610214,Non-OECD
ARG,MATHMOT,L2,-0.07563225345184264,Non-OECD
AUS,hwk_h,L0,0.13902619660257368,OECD (other)
AUS,hwk_h,L1,0.10762570359717866,OECD (other)
AUS,hwk_h,L2,0.10495785069894495,OECD (other)
AUS,SDLEFF,L0,0.2278717041893322,OECD (other)
AUS,SDLEFF,L1,0.14976326060876113,OECD (other)
AUS,SDLEFF,L2,0.14911560919606293,OECD (other)
AUS,MATHEFF,L0,0.5005900047846265,OECD (other)
AUS,MATHEFF,L1,0.4326085612774465,OECD (other)
AUS,MATHEFF,L2,0.45870210995224114,OECD (other)
AUS,MATHMOT,L0,0.09367666746154207,OECD (other)
AUS,MATHMOT,L1,0.0916328185155811,OECD (other)
AUS,MATHMOT,L2,0.09298280534691174,OECD (other)
