country,region,hwk_mean,slope_p25,slope_p50,slope_p75,concavity,fragility,base_slope,pct_change,slope_p50_pisa_pts
ALB,Non-OECD,2.475558729056317,27.835430325844868,20.9685537238268,1.8520301662520635,25.983400159592804,robust,4.67772180567479,13.631283835568013,20.9685537238268
ARE,Non-OECD,2.2825594957706796,11.92477200665445,6.7639054367379,-7.678667066604419,19.60343907325887,robust,-5.291270334631061,14.655848678190557,6.7639054367379
ARG,Non-OECD,2.0655377541850366,5.368827056172222,2.605093497983489,-5.061519932363865,10.430346988536089,robust,-2.50173018770737,49.15591330046159,2.605093497983489
AUS,OECD (other),1.719423274134379,31.46754961063516,31.46754961063516,21.058218661665705,10.409330948969457,robust,10.085214140934916,1.824447675450254,31.46754961063516
AUT,OECD (other),1.5885567276975396,-10.958727843344091,-10.958727843344091,-11.016370448833982,0.05764260548989064,robust,-11.092581023670268,6.675330168660345,-10.958727843344091
BEL,OECD (other),1.7900176269766177,10.95977958449066,10.95977958449066,4.861249714354244,6.0985298701364155,shrink,-1.0915922374261515,173.14717699942716,10.95977958449066
BGR,Non-OECD,1.9631752563199816,16.71389778115997,12.060043848986254,-1.0994051306827828,17.813302911842754,shrink,1.7005778105396436,62.59490726536105,12.060043848986254
BRA,Non-OECD,2.007791880195702,12.499479060861688,8.517472286426084,-2.669640146493464,15.169119207355152,shrink,0.44841730965198817,87.54489896365773,8.517472286426084
BRN,Non-OECD,2.364470924069152,15.607407620107494,14.192676104318366,9.64618157255677,5.961226047550724,robust,5.617642498996168,10.118145700961636,14.192676104318366
CAN,OECD (other),1.8887408162888757,8.35363637182536,8.35363637182536,3.749525722696035,4.604110649129325,shrink,-2.7025451622410204,52.05804933906161,8.35363637182536
CHE,OECD (other),1.3451965283124816,-14.440780916351857,-14.440780916351857,-14.440780916351857,0,robust,-16.027692971474384,4.106004631652303,-14.440780916351857
CHL,OECD (other),2.112364902596471,6.977667524533331,4.039121201705598,-4.271397723609937,11.249065248143268,robust,-2.570372349143928,48.449436523031466,4.039121201705598
COL,OECD (other),2.452004781987848,11.32894896764833,10.13071602057164,6.213545788297552,5.1154031793507775,robust,1.6601085714737671,28.1869451326835,10.13071602057164
CZE,OECD (other),1.5273766905049355,-13.761398049200864,-13.761398049200864,-14.271098333236694,0.50970028403583,robust,-14.141205317874892,9.933457262835503,-13.761398049200864
DEU,OECD (other),1.5588305423121682,-12.34454282353778,-12.34454282353778,-12.788846924826371,0.44430410128859066,robust,-13.5898532620169,27.759783631869915,-12.34454282353778
DNK,Nordic,1.3917429788696392,-6.215996931853624,-6.215996931853624,-9.51793409394503,3.3019371620914058,robust,-12.986636137771226,8.136080689557113,-6.215996931853624
