country,region,hwk_mean,slope_p50,tracking_age,early_track,central_exit_exam,confucian_heritage,vocational_share_pct,instr_hrs_per_wk
ALB,Non-OECD,2.475558729056317,20.9685537238268,15,0,1,0,40,28
ARG,Non-OECD,2.0655377541850366,2.605093497983489,15,0,0,0,18,28
AUS,OECD (other),1.719423274134379,31.46754961063516,16,0,1,0,30,24
AUT,OECD (other),1.5885567276975396,-10.958727843344091,10,1,1,0,70,26
BEL,OECD (other),1.7900176269766177,10.95977958449066,12,1,0,0,60,26
BGR,Non-OECD,1.9631752563199816,12.060043848986254,14,1,1,0,50,26
BRA,Non-OECD,2.007791880195702,8.517472286426084,15,0,1,0,12,28
CAN,OECD (other),1.8887408162888757,8.35363637182536,16,0,0,0,12,24
CHE,OECD (other),1.3451965283124816,-14.440780916351857,12,1,0,0,65,26
CHL,OECD (other),2.112364902596471,4.039121201705598,15,0,1,0,40,28
COL,OECD (other),2.452004781987848,10.13071602057164,15,0,1,0,15,28
CZE,OECD (other),1.5273766905049355,-13.761398049200864,15,0,1,0,70,26
DEU,OECD (other),1.5588305423121682,-12.34454282353778,10,1,0,0,47,26
DNK,Nordic,1.3917429788696392,-6.215996931853624,16,0,1,0,55,24
DOM,Non-OECD,2.319061468482985,8.553575007638244,15,0,1,0,15,28
ESP,OECD (other),1.8288718613497408,-4.019716386549987,16,0,0,0,35,26
EST,OECD (other),1.7626099144226757,-13.370443705198229,15,0,1,0,30,26
FIN,Nordic,1.2847515491380772,-11.846229041238985,16,0,1,0,70,22
FRA,OECD (other),1.6591948075720755,4.381543678986986,15,0,1,0,40,26
GBR,OECD (other),1.6697859106769315,11.409624901851204,16,0,1,0,35,26
GEO,Non-OECD,2.1750121523352903,16.98206374490985,15,0,1,0,30,28
GRC,OECD (other),2.0976177773775357,15.82287255609333,15,0,1,0,30,28
GTM,Non-OECD,2.4304444134531966,14.1025621320112,15,0,0,0,15,28
HKG,East Asia,2.168914664953165,13.009548855442176,15,0,1,1,12,28
HRV,Non-OECD,1.849605300005941,11.38963578630387,14,1,1,0,65,26
HUN,OECD (other),1.6666886211272955,0.6740516506251879,14,1,1,0,30,26
IDN,Non-OECD,2.1220405476236546,8.900114163131093,15,0,1,0,30,28
IRL,OECD (other),1.4825915953918989,8.098287498284321,15,0,1,0,35,28
ISL,Nordic,1.549673632365154,-7.097620606972498,16,0,0,0,35,22
ISR,OECD (other),2.084157217899844,8.100450886453075,15,0,1,0,35,28
ITA,OECD (other),2.134724514419104,6.948545776254832,14,1,1,0,50,30
JOR,Non-OECD,2.084916711686655,-0.3510327499241157,15,0,1,0,30,28
KAZ,Non-OECD,1.9329348074541597,8.533505112121588,15,0,1,0,30,28
KOR,East Asia,2.8306867358374466,13.76158776921477,15,0,1,1,17,30
